,Total_Acres_Burned,Archive_Year,County_Name,County_ID,Fire_Started_Date,Fire_Extinguished_Date,Injuries,Latitude,Longitude,Major_Incident,Location,Fire_Name,Percent_Contained,State,CAUSE,Cause_Description,Structure_Impacted,Maximum_Temp,Minimum_Temp,Average_Temp,Wind_Speed,Air_Pressure,Precipitation
0,257314,2013,Tuolumne,55,8/17/2013,9/6/2013,0,37.857,-120.086,FALSE,3 miles east of Groveland along Hwy 120,Rim Fire,100,CA,14,Unidentified,0,32,14,27,3,1015,0
1,30274,2013,Los Angeles,19,5/30/2013,6/8/2013,0,34.585595,-118.423176,FALSE,Angeles National Forest,Powerhouse Fire,100,CA,14,Unidentified,0,34,9,27,18,1010,0
2,27531,2013,Riverside,33,7/15/2013,7/30/2013,0,33.7095,-116.72885,FALSE,Hwy 243 & Hwy 74 near Mountain Center,Mountain Fire,100,CA,9,Miscellaneous,0,32,18,28,7,1010,0
3,27440,2013,Placer,31,8/10/2013,8/30/2013,0,39.12,-120.65,FALSE,"Deadwood Ridge, northeast of Foresthill",American Fire,100,CA,14,Unidentified,0,26,6,20,4,1015,0
4,22992,2013,Fresno,10,7/22/2013,9/24/2013,0,37.279,-119.318,FALSE,Seven miles north of Big Creek,Aspen Fire,100,CA,14,Unidentified,0,25,15,21,2,1012,0
5,20292,2013,Riverside,33,8/7/2013,8/12/2013,26,33.86157,-116.90427,TRUE,"Poppet Flats Rd near Hwy 243, south of Banning",Silver Fire,100,CA,14,Unidentified,48,27,15,24,11,1014,0
6,14754,2013,Siskiyou,47,7/31/2013,8/31/2013,0,41.32,-123.176,FALSE,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",Salmon River Complex,100,CA,14,Unidentified,0,24,1,18,3,1020,0
7,12503,2013,Humboldt,12,8/10/2013,8/12/2013,0,41.035,-123.488,FALSE,Tish Tang Ridge east of Hoopa Valley Reservation,Corral Complex,100,CA,14,Unidentified,0,21,4,17,3,1015,0.3
8,11429,2013,Tehama,52,8/23/2013,8/29/2013,5,40.04263,-121.85397,TRUE,"Near Deer Creek, 12 miles east of Los Molinos. ",Deer Fire,100,CA,9,Miscellaneous,0,33,16,28,5,1013,0
9,8073,2013,Shasta,45,9/9/2013,9/15/2013,6,40.498332,-122.535496,TRUE,"Community of Igo, 10 miles southwest of Redding",Clover Fire,100,CA,7,Arson,211,37,17,30,13,1012,0
10,7055,2013,San Diego,37,7/6/2013,7/15/2013,12,32.95435,-116.47381,TRUE,"off Sunrise Hwy, 9 miles southeast of Julian",Chariot Fire,100,CA,14,Unidentified,158,29,19,25,8,1007,2.1
11,6965,2013,Tehama,52,5/1/2013,5/9/2013,6,40.190062,-121.595555,TRUE,"140K3 Line, 8 miles northwest of Butte Meadows",Panther Fire,100,CA,14,Unidentified,0,16,1,12,19,1022,0
12,4346,2013,Kern,"15,56",5/15/2013,5/21/2013,4,34.7861,-118.9411,TRUE,"South of Frazier Mountain Park Rd, South of Frazier Park",Grand Fire,100,CA,14,Unidentified,0,25,13,21,6,1015,0
13,3505,2013,Sonoma,49,11/22/2013,11/27/2013,6,38.8167,-122.8498,TRUE,"The Geysers area, 10 miles northeast of Geyserville",McCabe Fire,100,CA,14,Unidentified,1,21,7,15,26,1017,0
14,3166,2013,Riverside,33,5/1/2013,5/4/2013,2,34.288877,-116.941311,TRUE,Mias Canyon and Bluff Road in Banning,Summit Fire,100,CA,18,Escaped Prescribed Burn,1,24,11,21,11,1009,0
15,3111,2013,Contra Costa,7,9/8/2013,9/14/2013,0,37.90757,-121.882582,TRUE,"off Morgan Territory Road, Southeast of Clayton",Morgan Fire,100,CA,14,Unidentified,0,34,19,29,8,1011,0
16,2781,2013,San Diego,37,5/23/2013,5/26/2013,5,33.12111,-116.52579,TRUE,"San Felipe Road, north of Highway 78, East of Julian",San Felipe Fire,100,CA,14,Unidentified,0,27,6,20,24,1008,0
17,2462,2013,Butte,4,8/16/2013,8/22/2013,5,39.446268,-121.38236,TRUE,southeast of Oroville,Swedes Fire,100,CA,14,Unidentified,7,32,16,27,10,1015,0
18,2236,2013,San Diego,37,10/5/2013,10/9/2013,0,33.341,-117.3092,FALSE,"On Camp Pendleton, west of Fallbrook",DeLuz Fire,100,CA,14,Unidentified,0,30,15,25,16,1019,0
19,2060,2013,Tulare,54,8/24/2013,9/24/2013,0,36.208,-118.444,FALSE,Golden Trout Wilderness on the Sequoia National Forest.,Fish Fire,100,CA,14,Unidentified,0,30,12,24,5,1009,0
20,1984,2013,Santa Barbara,42,5/27/2013,5/30/2013,0,34.55048,-119.82429,FALSE,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",White Fire,100,CA,14,Unidentified,0,25,13,21,17,1017,0
21,1708,2013,Mariposa,22,6/16/2013,6/26/2013,1,37.58202,-119.91071,TRUE,"Off Carstens Road, east of 140 in the Midpines area.",Carstens Fire,100,CA,14,Unidentified,0,20,4,17,3,1015,0
22,1383,2013,Riverside,"33,",8/5/2013,8/9/2013,0,33.62236,-117.40288,FALSE,"Ortega Highway, west of Lake Elsinoire",Falls Fire,100,CA,14,Unidentified,0,30,15,25,5,1014,0
23,1271,2013,San Diego,37,5/26/2013,5/31/2013,6,33.04458,-116.5209,TRUE,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",General Fire,100,CA,9,Miscellaneous,0,28,6,20,23,1013,0
24,1070,2013,Tuolumne,55,8/5/2013,8/14/2013,0,38.25108,-120.02778,FALSE,"Near Beardsley Lake, northeast of Sonora",Power Fire,100,CA,9,Miscellaneous,0,27,5,21,3,1016,0
25,794,2013,Kern,15,8/18/2013,8/24/2013,0,35.707,-118.588,FALSE,Lower Kern River Canyon area off Highway 178,Shirley Fire,100,CA,14,Unidentified,0,33,18,28,3,1011,0
26,712,2013,Kern,15,7/19/2013,7/22/2013,5,34.882,-118.9194,TRUE,West side of Interstate 5 in Lebec (Kern County),Rancho Fire,100,CA,14,Unidentified,0,32,21,28,10,1012,0
