id,fire_name,total_acres_burned,county_id,injuries,structure_impacted
1,Rim Fire,257314,55,0,0
2,Powerhouse Fire,30274,19,0,0
3,Mountain Fire,27531,33,0,0
4,American Fire,27440,31,0,0
5,Aspen Fire,22992,10,0,0
6,Silver Fire,20292,33,26,48
7,Salmon River Complex,14754,47,0,0
8,Corral Complex,12503,12,0,0
9,Deer Fire,11429,52,5,0
10,Clover Fire,8073,45,6,211
11,Chariot Fire,7055,37,12,158
12,Panther Fire,6965,52,6,0
13,Grand Fire,4346,"15,56",4,0
14,McCabe Fire,3505,49,6,1
15,Summit Fire,3166,33,2,1
16,Morgan Fire,3111,7,0,0
17,San Felipe Fire,2781,37,5,0
18,Swedes Fire,2462,4,5,7
19,DeLuz Fire,2236,37,0,0
20,Fish Fire,2060,54,0,0
21,White Fire,1984,42,0,0
22,Carstens Fire,1708,22,1,0
23,Falls Fire,1383,"33,",0,0
24,General Fire,1271,37,6,0
25,Power Fire,1070,55,0,0
26,Shirley Fire,794,15,0,0
27,Rancho Fire,712,15,5,0
28,Lake Fire,712,19,0,0
29,Water Fire,612,15,0,0
30,Kyburz Fire,572,9,0,0
31,Mills Fire,534,36,0,1
32,Plumas Lightning Complex (Hough),513,32,0,0
33,Gorgonio Fire,510,33,0,0
34,Fox Fire (formally 3-7 Fire),502,25,0,0
35,Branch Fire,500,40,0,0
36,Kirker Fire,492,7,0,0
37,Rolling Fire,482,20,0,1
38,Gobblers Fire,413,36,0,0
39,River Fire,406,14,2,0
40,Putah Fire,376,28,0,0
41,Tres Pinos Fire,354,35,0,0
42,Shelton Fire,303,39,0,0
43,Lone Fire,298,4,0,9
44,Concord Fire,274,7,0,0
45,Gold Fire,274,20,0,0
46,Madre Fire,268,19,0,0
47,Lyon Fire,263,37,2,176
48,Sharp Fire,243,36,0,0
49,Vasco Fire,240,1,0,0
50,PFE Fire,237,31,0,0
51,306 Fire,217,11,0,0
52,Sierra Fire,200,36,0,0
53,Vina Fire,200,52,0,0
54,Burney Lightning Series (Warner Fire),196,45,0,0
55,Paskenta Fire,195,52,0,0
56,Silverado Fire,190,28,0,1
57,Olive Fire,170,42,0,0
58,Capay Fire,163,57,0,0
59,50 Fire,163,"9,34",0,0
60,Crane Fire,159,49,0,0
61,Lakeville Fire,158,49,0,0
62,Redlands Fire,150,33,0,0
63,Diablo Fire,150,50,0,0
64,George Fire,150,10,0,0
65,Magic Fire,149,19,0,0
66,Angora Fire,134,54,0,0
67,Yellow Fire,125,49,0,0
68,California Fire,124,48,0,0
69,152 Fire,124,24,0,0
70,Smiley Fire,124,33,0,0
71,Cantwell Fire,120,17,0,1
72,Union Fire,116,9,0,1
73,Cleghorn Fire,110,36,0,0
74,Clinton Fire,108,10,0,0
75,Freeman Fire,105,27,0,0
76,Murphy Fire,100,55,0,0
77,Border Fire,100,37,0,0
78,Davis Creek Complex,97,25,0,0
79,Little Fire,97,36,0,0
80,Coyote Fire,97,18,0,0
81,Roadrunner Fire,96,3,0,0
82,Creek Fire,94,40,0,0
83,Lilly 2 Fire,91,20,0,1
84,Adelaida Fire,85,40,0,0
85,Retek Fire,82,23,0,0
86,Centerville Fire,80,4,1,0
87,Silverwood Fire,75,36,0,0
88,Revis Fire,75,20,0,0
89,Lytle Fire,75,36,1,1
90,Liveoak Fire,73,36,0,0
91,McGanney Fire,73,58,0,0
92,Double Fire,70,17,0,0
93,Rail Fire,68,25,0,0
94,Wheeler Fire,64,56,0,0
95,Tram Fire,60,33,0,0
96,Relay Fire,60,33,0,0
97,Tyler Fire,52,29,0,0
98,Toro Fire,51,40,0,0
99,Bruner Fire,50,17,0,0
100,Cottonwood Fire,50,47,0,0
101,Uvas Fire,50,43,0,0
102,Grant Fire,50,1,0,0
103,Homestead Fire,50,40,0,0
104,Bridges Fire,46,5,2,0
105,Pratt Fire,45,23,0,0
106,Fiddler Fire,43,45,0,0
107,Viper Fire,42,33,0,0
108,Chestnut Fire,41,41,0,0
109,Baker Fire,40,30,0,0
110,Pierce Fire,40,33,0,0
111,Heacock Fire,40,33,0,0
112,Palmyrita Fire,40,33,0,0
113,54 Fire,40,33,0,0
114,Empire Fire,38,9,0,0
115,Indian Fire,38,17,0,0
116,Fallon Fire,38,1,0,0
117,Michelle Fire,35,10,0,0
118,Cottontail Fire,35,40,0,0
119,Dersch Fire,33,45,0,0
120,Chuckwagon Fire,31,5,0,0
121,Lakeshore Fire,30,17,0,0
122,Fawnskin Fire,30,36,0,0
123,Sonoma-Lake-Napa Unit Lightning Fires,28,"49,48,17,6",0,0
124,Cloverdale Fire,27,45,0,0
125,Flume Fire,25,37,0,0
126,Mount Fire,25,17,0,0
127,Cherry Fire,25,33,0,0
128,Dam Fire,23,17,0,0
129,Gilman Fire,15,33,0,0
130,Orleans Complex,0,12,0,0
131,Hathaway Fire,0,33,0,0
132,King Fire,97717,9,12,80
133,Bald Fire,39736,45,0,0
134,Oregon Gulch Fire (part of the Beaver Complex),35302,47,0,0
135,Eiler Fire,32416,45,11,21
136,Day Fire,13153,25,7,6
137,Bully Fire,12661,45,21,20
138,Monticello Fire,6488,57,5,0
139,Coffee Fire,6258,45,0,0
140,Little Deer Fire,5503,47,0,0
141,Tomahawk Fire,5367,37,0,0
142,Butts Fire,4300,"28,17",4,9
143,Sand Fire,4240,"3,9",2,67
144,Way Fire,4045,15,0,0
145,Etiwanda Fire,2143,36,3,1
146,Cocos Fire,1995,37,3,40
147,Colby Fire,1952,19,0,0
148,Nicolls Fire ,1680,15,0,0
149,Modoc Lightning Complex,1651,25,0,0
150,Bernardo Fire,1548,37,3,50
151,Gulch Fire,1469,25,0,0
152,San Mateo Fire,1457,37,0,0
153,Campbell Fire,865,52,0,0
154,Miguelito Fire,632,42,0,1200
155,Junction Fire,612,20,3,47
156,Poinsettia Fire,600,37,0,0
157,Oregon Fire,580,53,2,1
158,Boles Fire,516,47,1,1272
159,59 Fire,487,55,0,0
160,Encinal Fire,400,27,0,0
161,Highway Fire,380,37,0,0
162,Red Fire,333,12,0,0
163,Courtney Fire,320,20,4,71
164,Dog Rock Fire,311,22,0,0
165,Tecolote Fire,274,19,0,0
166,Hetch Hetchy Fire,269,55,0,0
167,Dog Bar Fire,247,29,0,0
168,Banner Fire,217,37,4,3
169,Bald Hill 3 Fire,210,12,0,0
170,Shoemaker Fire,190,19,0,0
171,Dry Fire,143,45,0,0
172,Haigh Fire,130,22,1,0
173,Gun Fire,125,37,0,0
174,Irene Fire,94,9,0,0
175,Oak Fire,85,5,1,1
176,Boca Fire,84,29,0,0
177,Marsh Fire,80,7,0,0
178,Cassel Fire,75,45,0,0
179,San Lucas Fire,75,27,0,0
180,Wildlife Fire,72,4,0,0
181,Jackson Fire,70,55,0,0
182,Van Buren Fire,57,33,0,0
183,Bane Fire,48,36,0,0
184,Interlake Fire,47,",40",0,0
185,Hutto Fire,38,29,0,0
186,Bible Fire,30,9,0,0
187,Jacumba Fire,29,37,0,0
188,Stage Coach Fire,27,28,0,0
189,Leopard Fire,25,45,0,0
190,Hall Fire,25,10,0,0
191,Cascade Fire,20,9,0,0
192,West Fire,15,53,0,0
193,Pines Fire,10,20,0,0
194,Happy Camp Complex,0,47,0,0
195,Rough Fire ,151623,10,0,0
196,Rocky Fire,69438,17,0,104
197,Jerusalem Fire,25118,"17,28",0,27
198,Dodge Fire,10570,18,0,0
199,Cabin Fire,6980,54,0,0
200,Willow Fire,5702,20,0,0
201,Frog Fire,4863,25,0,0
202,North Fire,4250,36,0,72
203,Tesla Fire,2700,1,0,0
204,Cuesta Fire,2446,40,1,1
205,Lowell Fire,2304,29,6,57
206,Saddle Fire ,1542,53,0,0
207,Lumpkin Fire,1042,4,1,0
208,Corrine Fire,920,20,0,3
209,Elk Fire,673,17,0,0
210,Cienega Fire,670,35,3,0
211,Anza Fire,543,33,0,0
212,Triple Fire,430,54,0,0
213,Calgrove Fire ,415,19,0,0
214,Forebay Fire,275,24,0,0
215,Peterson Fire,215,17,0,0
216,241 Fire,214,30,0,0
