id,fire_name,fire_started_date,fire_extinguished_date,archive_year,county_id,state,cause_id,cause_description,percent_contained,total_acres_burned,major_incident
1,Rim Fire,2013-08-17,2013-09-06,2013,55,CA,14,Unidentified,100,257314,f
2,Powerhouse Fire,2013-05-30,2013-06-08,2013,19,CA,14,Unidentified,100,30274,f
3,Mountain Fire,2013-07-15,2013-07-30,2013,33,CA,9,Miscellaneous,100,27531,f
4,American Fire,2013-08-10,2013-08-30,2013,31,CA,14,Unidentified,100,27440,f
5,Aspen Fire,2013-07-22,2013-09-24,2013,10,CA,14,Unidentified,100,22992,f
6,Silver Fire,2013-08-07,2013-08-12,2013,33,CA,14,Unidentified,100,20292,t
7,Salmon River Complex,2013-07-31,2013-08-31,2013,47,CA,14,Unidentified,100,14754,f
8,Corral Complex,2013-08-10,2013-08-12,2013,12,CA,14,Unidentified,100,12503,f
9,Deer Fire,2013-08-23,2013-08-29,2013,52,CA,9,Miscellaneous,100,11429,t
10,Clover Fire,2013-09-09,2013-09-15,2013,45,CA,7,Arson,100,8073,t
11,Chariot Fire,2013-07-06,2013-07-15,2013,37,CA,14,Unidentified,100,7055,t
12,Panther Fire,2013-05-01,2013-05-09,2013,52,CA,14,Unidentified,100,6965,t
13,Grand Fire,2013-05-15,2013-05-21,2013,"15,56",CA,14,Unidentified,100,4346,t
14,McCabe Fire,2013-11-22,2013-11-27,2013,49,CA,14,Unidentified,100,3505,t
15,Summit Fire,2013-05-01,2013-05-04,2013,33,CA,18,Escaped Prescribed Burn,100,3166,t
16,Morgan Fire,2013-09-08,2013-09-14,2013,7,CA,14,Unidentified,100,3111,t
17,San Felipe Fire,2013-05-23,2013-05-26,2013,37,CA,14,Unidentified,100,2781,t
18,Swedes Fire,2013-08-16,2013-08-22,2013,4,CA,14,Unidentified,100,2462,t
19,DeLuz Fire,2013-10-05,2013-10-09,2013,37,CA,14,Unidentified,100,2236,f
20,Fish Fire,2013-08-24,2013-09-24,2013,54,CA,14,Unidentified,100,2060,f
21,White Fire,2013-05-27,2013-05-30,2013,42,CA,14,Unidentified,100,1984,f
22,Carstens Fire,2013-06-16,2013-06-26,2013,22,CA,14,Unidentified,100,1708,t
23,Falls Fire,2013-08-05,2013-08-09,2013,"33,",CA,14,Unidentified,100,1383,f
24,General Fire,2013-05-26,2013-05-31,2013,37,CA,9,Miscellaneous,100,1271,t
25,Power Fire,2013-08-05,2013-08-14,2013,55,CA,9,Miscellaneous,100,1070,f
26,Shirley Fire,2013-08-18,2013-08-24,2013,15,CA,14,Unidentified,100,794,f
27,Rancho Fire,2013-07-19,2013-07-22,2013,15,CA,14,Unidentified,100,712,t
28,Lake Fire,2013-05-17,2013-05-18,2013,19,CA,3,Smoking,100,712,f
29,Water Fire,2013-07-23,2013-07-25,2013,15,CA,14,Unidentified,100,612,f
30,Kyburz Fire,2013-07-08,2013-07-11,2013,9,CA,9,Miscellaneous,100,572,f
31,Mills Fire,2013-06-28,2013-07-01,2013,36,CA,14,Unidentified,100,534,t
32,Plumas Lightning Complex (Hough),2013-08-18,2013-08-25,2013,32,CA,14,Unidentified,100,513,f
33,Gorgonio Fire,2013-05-04,2013-05-05,2013,33,CA,14,Unidentified,100,510,f
34,Fox Fire (formally 3-7 Fire),2013-07-03,2013-07-05,2013,25,CA,14,Unidentified,100,502,f
35,Branch Fire,2013-06-01,2013-06-03,2013,40,CA,14,Unidentified,100,500,f
36,Kirker Fire,2013-07-01,2013-07-01,2013,7,CA,14,Unidentified,100,492,f
37,Rolling Fire,2013-06-16,2013-06-18,2013,20,CA,10,Vehicle,100,482,t
38,Gobblers Fire,2013-08-20,2013-08-20,2013,36,CA,14,Unidentified,100,413,f
39,River Fire,2013-02-24,2013-02-28,2013,14,CA,14,Unidentified,100,406,t
40,Putah Fire,2013-10-03,2013-10-04,2013,28,CA,14,Unidentified,100,376,t
41,Tres Pinos Fire,2013-05-03,2013-05-03,2013,35,CA,2,Equipment Use,100,354,f
42,Shelton Fire,2013-05-30,2013-05-30,2013,39,CA,2,Equipment Use,100,303,f
43,Lone Fire,2013-06-03,2013-06-03,2013,4,CA,2,Equipment Use,100,298,t
44,Concord Fire,2013-07-01,2013-07-01,2013,7,CA,14,Unidentified,100,274,f
45,Gold Fire,2013-04-30,2013-05-01,2013,20,CA,5,Debris,100,274,f
46,Madre Fire,2013-09-23,2013-09-28,2013,19,CA,14,Unidentified,100,268,f
47,Lyon Fire,2013-09-09,2013-09-12,2013,37,CA,9,Miscellaneous,100,263,t
48,Sharp Fire,2013-08-08,2013-08-13,2013,36,CA,7,Arson,100,243,f
49,Vasco Fire,2013-06-08,2013-06-08,2013,1,CA,14,Unidentified,100,240,f
50,PFE Fire,2013-06-13,2013-06-13,2013,31,CA,14,Unidentified,100,237,f
51,306 Fire,2013-05-01,2013-05-05,2013,11,CA,14,Unidentified,100,217,t
52,Sierra Fire,2013-09-24,2013-09-30,2013,36,CA,14,Unidentified,100,200,f
53,Vina Fire,2013-07-04,2013-07-04,2013,52,CA,8,Playing with fire,100,200,f
54,Burney Lightning Series (Warner Fire),2013-08-19,2013-08-23,2013,45,CA,14,Unidentified,100,196,t
55,Paskenta Fire,2013-07-19,2013-07-19,2013,52,CA,14,Unidentified,100,195,f
56,Silverado Fire,2013-11-21,2013-11-23,2013,28,CA,14,Unidentified,100,190,t
57,Olive Fire,2013-05-28,2013-05-29,2013,42,CA,14,Unidentified,100,170,f
58,Capay Fire,2013-11-04,2013-11-04,2013,57,CA,14,Unidentified,100,163,f
