id,fire_name,county_id,county_name,location,latitude,longitude,minimum_temp,maximum_temp,average_temp,wind_speed,air_pressure,precipitation
1,Rim Fire,55,Tuolumne,3 miles east of Groveland along Hwy 120,37.857,-120.086,14.0,32.0,27.0,3.0,1015.0,0.0
2,Powerhouse Fire,19,Los Angeles,Angeles National Forest,34.585595,-118.423176,9.0,34.0,27.0,18.0,1010.0,0.0
3,Mountain Fire,33,Riverside,Hwy 243 & Hwy 74 near Mountain Center,33.7095,-116.72885,18.0,32.0,28.0,7.0,1010.0,0.0
4,American Fire,31,Placer,"Deadwood Ridge, northeast of Foresthill",39.12,-120.65,6.0,26.0,20.0,4.0,1015.0,0.0
5,Aspen Fire,10,Fresno,Seven miles north of Big Creek,37.279,-119.318,15.0,25.0,21.0,2.0,1012.0,0.0
6,Silver Fire,33,Riverside,"Poppet Flats Rd near Hwy 243, south of Banning",33.86157,-116.90427,15.0,27.0,24.0,11.0,1014.0,0.0
7,Salmon River Complex,47,Siskiyou,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",41.32,-123.176,1.0,24.0,18.0,3.0,1020.0,0.0
8,Corral Complex,12,Humboldt,Tish Tang Ridge east of Hoopa Valley Reservation,41.035,-123.488,4.0,21.0,17.0,3.0,1015.0,0.3
9,Deer Fire,52,Tehama,"Near Deer Creek, 12 miles east of Los Molinos. ",40.042629999999996,-121.85396999999999,16.0,33.0,28.0,5.0,1013.0,0.0
10,Clover Fire,45,Shasta,"Community of Igo, 10 miles southwest of Redding",40.498332,-122.535496,17.0,37.0,30.0,13.0,1012.0,0.0
11,Chariot Fire,37,San Diego,"off Sunrise Hwy, 9 miles southeast of Julian",32.95435,-116.47381000000001,19.0,29.0,25.0,8.0,1007.0,2.1
12,Panther Fire,52,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",40.190062,-121.595555,1.0,16.0,12.0,19.0,1022.0,0.0
13,Grand Fire,"15,56",Kern,"South of Frazier Mountain Park Rd, South of Frazier Park",34.7861,-118.9411,13.0,25.0,21.0,6.0,1015.0,0.0
14,McCabe Fire,49,Sonoma,"The Geysers area, 10 miles northeast of Geyserville",38.8167,-122.8498,7.0,21.0,15.0,26.0,1017.0,0.0
15,Summit Fire,33,Riverside,Mias Canyon and Bluff Road in Banning,34.288877,-116.94131100000001,11.0,24.0,21.0,11.0,1009.0,0.0
16,Morgan Fire,7,Contra Costa,"off Morgan Territory Road, Southeast of Clayton",37.90757,-121.88258200000001,19.0,34.0,29.0,8.0,1011.0,0.0
17,San Felipe Fire,37,San Diego,"San Felipe Road, north of Highway 78, East of Julian",33.121109999999994,-116.52578999999999,6.0,27.0,20.0,24.0,1008.0,0.0
18,Swedes Fire,4,Butte,southeast of Oroville,39.446267999999996,-121.38236,16.0,32.0,27.0,10.0,1015.0,0.0
19,DeLuz Fire,37,San Diego,"On Camp Pendleton, west of Fallbrook",33.341,-117.3092,15.0,30.0,25.0,16.0,1019.0,0.0
20,Fish Fire,54,Tulare,Golden Trout Wilderness on the Sequoia National Forest.,36.208,-118.444,12.0,30.0,24.0,5.0,1009.0,0.0
21,White Fire,42,Santa Barbara,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",34.55048,-119.82428999999999,13.0,25.0,21.0,17.0,1017.0,0.0
22,Carstens Fire,22,Mariposa,"Off Carstens Road, east of 140 in the Midpines area.",37.58202,-119.91071000000001,4.0,20.0,17.0,3.0,1015.0,0.0
23,Falls Fire,"33,",Riverside,"Ortega Highway, west of Lake Elsinoire",33.62236,-117.40288000000001,15.0,30.0,25.0,5.0,1014.0,0.0
24,General Fire,37,San Diego,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",33.044579999999996,-116.5209,6.0,28.0,20.0,23.0,1013.0,0.0
25,Power Fire,55,Tuolumne,"Near Beardsley Lake, northeast of Sonora",38.25108,-120.02778,5.0,27.0,21.0,3.0,1016.0,0.0
26,Shirley Fire,15,Kern,Lower Kern River Canyon area off Highway 178,35.707,-118.588,18.0,33.0,28.0,3.0,1011.0,0.0
27,Rancho Fire,15,Kern,West side of Interstate 5 in Lebec (Kern County),34.882,-118.9194,21.0,32.0,28.0,10.0,1012.0,0.0
28,Lake Fire,19,Los Angeles,I-5 Southbound at Lake Hughes Road,34.49149,-118.61004399999999,13.0,21.0,17.0,4.0,1013.0,0.0
29,Water Fire,15,Kern,West side of Interstate 5 at Tejon Ranch,34.90327,-118.93388,20.0,28.0,25.0,7.0,1015.0,0.0
30,Kyburz Fire,9,El Dorado,"Off Hwy 50 at 30 Mile Tract, Kyburz",38.774,-120.29799999999999,8.0,29.0,24.0,3.0,1012.0,0.0
31,Mills Fire,36,San Bernardino,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",34.071556,-117.048397,17.0,38.0,31.0,7.0,1014.0,0.0
32,Plumas Lightning Complex (Hough),32,Plumas,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,40.00842,-120.76466599999999,14.0,30.0,24.0,9.0,1013.0,0.0
33,Gorgonio Fire,33,Riverside,"Highway 243, south of Banning and north of Pine Cove",33.894055,-116.855019,7.0,23.0,17.0,7.0,1007.0,0.0
34,Fox Fire (formally 3-7 Fire),25,Modoc,5 miles northwest of Aiden,41.2415,-121.035,18.0,33.0,29.0,5.0,1018.0,0.0
35,Branch Fire,40,San Luis Obispo,"west of the Carrizo Plain, Los Padres National Forest",35.15832,-120.05131000000002,19.0,31.0,28.0,10.0,1012.0,0.0
36,Kirker Fire,7,Contra Costa,Kirker Pass Road south of Pittsburg,37.96866,-121.91453,16.0,37.0,31.0,12.0,1009.0,0.0
37,Rolling Fire,20,Madera,"off Hwy 41 & Road 145, northwest of Friant ",37.015575,-119.78106000000001,14.0,34.0,29.0,9.0,1015.0,0.0
38,Gobblers Fire,36,San Bernardino,upper end of Lytle Creek,34.302,-117.598,19.0,31.0,27.0,5.0,1012.0,0.0
39,River Fire,14,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",36.602575,-118.01651000000001,-6.0,4.0,0.0,24.0,1025.0,0.0
40,Putah Fire,28,Napa,off Berryessa Knoxville Rd near Lake Berryessa,38.628,-122.289,10.0,22.0,18.0,16.0,1017.0,0.0
41,Tres Pinos Fire,35,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",37.160346000000004,-120.937494,15.0,34.0,29.0,10.0,1019.0,0.0
42,Shelton Fire,39,San Joaquin,off North Shelton Rd in the Linden Peters area,38.049929999999996,-120.90325,10.0,28.0,23.0,5.0,1013.0,0.0
43,Lone Fire,4,Butte,Palermo Road and Lone Tree Road near Palermo,39.434183000000004,-121.57680400000001,19.0,36.0,30.0,13.0,1008.0,0.0
44,Concord Fire,7,Contra Costa,off Concord Ave & Vineyard Parkway in Brentwood,39.90465,-121.74367,22.0,41.0,36.0,6.0,1010.0,0.0
45,Gold Fire,20,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,37.116295,-119.63500400000001,12.0,25.0,21.0,8.0,1008.0,0.0
46,Madre Fire,19,Los Angeles,San Gabriel Canyon 1/4 mile west of the entrance station,34.149,-117.90799999999999,15.0,29.0,24.0,14.0,1011.0,0.0
47,Lyon Fire,37,San Diego,"Four Corners, Lyons Valley Road, east of Lyons Peak",32.710918,-116.746023,21.0,27.0,24.0,7.0,1008.0,0.0
48,Sharp Fire,36,San Bernardino,Sheep canyon just south of Wrightwood,34.35,-117.62,15.0,28.0,23.0,10.0,1014.0,0.0
49,Vasco Fire,1,Alameda,"off Vasco Road & North Vasco Road, north of Livermore",37.775057000000004,-121.73721299999998,15.0,36.0,29.0,9.0,1007.0,0.0
50,PFE Fire,31,Placer,"PFE Road and Watt Avenue, West Roseville",38.729296999999995,-121.38086200000001,14.0,33.0,27.0,6.0,1016.0,0.0
51,306 Fire,11,Glenn,2 miles south of the community of Elk Creek,39.514139,-122.56086200000001,12.0,28.0,23.0,31.0,1017.0,0.0
52,Sierra Fire,36,San Bernardino,in the Cajon Pass west of I-15 near Glen Helen Road,34.2,-117.417,13.0,31.0,25.0,5.0,1012.0,0.0
53,Vina Fire,52,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",40.012398,-122.079871,25.0,41.0,36.0,12.0,1011.0,0.0
54,Burney Lightning Series (Warner Fire),45,Shasta,Fall River Mills and McAruther area,40.5445,-121.3754,16.0,30.0,26.0,12.0,1014.0,0.8
55,Paskenta Fire,52,Tehama,West of Corning,39.961309,-122.33087900000001,18.0,40.0,34.0,5.0,1014.0,0.0
56,Silverado Fire,28,Napa,Off Silverado Trail in the Soda Canyon area near Napa,38.382,-122.311,6.0,12.0,9.0,4.0,1013.0,1.8
57,Olive Fire,42,Santa Barbara,"Hwy 246 and Meadowvale, East of Solvang ",34.611824,-120.074655,14.0,23.0,20.0,23.0,1015.0,0.0
58,Capay Fire,57,Yolo,"Off County Road 23 & County Road 81, Southwest of Esparto",38.67479,-122.08725,8.0,19.0,15.0,20.0,1015.0,0.0
59,50 Fire,"9,34",El Dorado,South of Hwy 50 at the El Dorado and Sacramento County line,38.63987,-121.08438000000001,15.0,39.0,31.0,2.0,1014.0,0.0
60,Crane Fire,49,Sonoma,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",38.34599,-122.6503,12.0,26.0,21.0,29.0,1017.0,0.0
61,Lakeville Fire,49,Sonoma,"Off Lakeville Hwy, 6 miles SE of Petaluma",38.17693,-122.51253,12.0,23.0,19.0,8.0,1016.0,0.0
62,Redlands Fire,33,Riverside,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",33.990128000000006,-117.164997,12.0,33.0,27.0,8.0,1010.0,0.0
63,Diablo Fire,50,Stanislaus,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",37.436,-121.1955,14.0,36.0,29.0,13.0,1013.0,0.0
64,George Fire,10,Fresno,off Bronco Lane in Squaw Valley,36.7218,-119.2248,14.0,29.0,23.0,3.0,1013.0,0.0
65,Magic Fire,19,Los Angeles,off Magic Mtn Parkway in Valencia,34.419284000000005,-118.58688000000001,14.0,26.0,21.0,16.0,1012.0,0.0
66,Angora Fire,54,Tulare,Golden Trout Wilderness,36.258,-118.459,16.0,22.0,18.0,3.0,1012.0,0.0
